name,url,phone,email,address,placeId
BARBOUNIA,https://barbounia.com/,(212) 995-0242,[],"250 Park Ave S, New York, NY 10003",ChIJafcWm6FZwokRAD6WiHiQdpE
Petite Boucherie,https://www.boucherieus.com/,(646) 756-4145,"['petite@boucherie.nyc', 'contact_Miami@boucherieus.com', 'unionsquare@boucherie.nyc', 'contact_chicago@boucherieus.com', 'lagrande@boucherie.nyc', 'pr@thegroup.nyc', 'westvillage@boucherie.nyc', 'contact@boucherie.nyc', 'contact_dc@boucherieus.com']","First Floor, 14 Christopher St, New York, NY 10014",ChIJye1nGZRZwokRpt8fmbCxNLE
Piccola Cucina Osteria Siciliana,http://www.piccolacucinagroup.com/,(646) 478-7488,"['event@piccolacucinagroup.com', 'reservas@piccolacucinaibiza.com', 'info@piccolacucinagroup.com']","196 Spring St, New York, NY 10012",ChIJowhlWYxZwokRgrvA8f_x8Es
Gramercy Tavern,https://www.gramercytavern.com/,(212) 477-0777,['donations@ushgnyc.com'],"42 E 20th St, New York, NY 10003",ChIJvSQIgqFZwokRFYQbJdzceSs
Marseille,https://marseillenyc.com/,(212) 333-2323,[],"630 9th Ave, New York, NY 10036",ChIJDf7etFNYwokR_b7pJ_D2_dM
Sea Salt NYC,http://www.seasaltsnyc.com/,(917) 261-4443,"['SEASALTNYC@GMAIL.COM', 'seasaltnyc@gmail.com']","1123 1st Ave, New York, NY 10065",ChIJYfgPUEFZwokRZ5mk9JqnxSc
Manhatta,https://www.manhattarestaurant.com/,(212) 230-5788,[],"28 Liberty St 60th floor, New York, NY 10005",ChIJoTXWl8dbwokRpKA2BJFVsGA
Lindens,http://www.lindensnyc.com/,(929) 595-7706,['hello@lindensnyc.com'],"2 Renwick St, New York, NY 10013",ChIJh-oPySxZwokRBTfrxwTdRo4
LOS TACOS No.1,http://www.lostacos1.com/,,[],"229 W 43rd St, New York, NY 10036",ChIJ6WooklRYwokR3qd-J59t-k0
La Grande Boucherie,https://www.boucherieus.com/,(212) 510-7714,"['petite@boucherie.nyc', 'contact_Miami@boucherieus.com', 'unionsquare@boucherie.nyc', 'contact_chicago@boucherieus.com', 'lagrande@boucherie.nyc', 'pr@thegroup.nyc', 'westvillage@boucherie.nyc', 'contact@boucherie.nyc', 'contact_dc@boucherieus.com']","145 W 53rd St, New York, NY 10019",ChIJ58OtM8pZwokRbd6DT6gcVys
