name,url,phone,email,address,placeId
LalQila Restaurant Karachi,https://www.lalqila.com/,+92 21 111 525 745,,"10/A, M.A.C.H.S، Main Shahra-e-Faisal, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, 75350, Pakistan",ChIJ226CXrI-sz4RfSpsoO8Mg_g
The East End,https://www.facebook.com/the.east.end.karachi,+92 321 2468246,,"Plot CC، 2 Khaliq-uz-Zaman Rd, behind Eid Ghaa, Park Clifton،, Karachi, 75600, Pakistan",ChIJKQDwEGY-sz4RzrX3pKlr9Jk
terraza,https://www.instagram.com/terrazaofficialpk?igsh=ejdyN3N1emo4ajRu,+92 333 8377292,,"F 35, Block 4 Clifton, Karachi, 05444, Pakistan",ChIJjb8PGAA9sz4Rfl7LoZzqna8
Kolachi Restaurant,https://www.google.com/maps/search/?api=1&query=Kolachi%20Restaurant&query_place_id=ChIJaQDdabc9sz4RxEuKghaXGrQ,+92 21 111 111 001,,"5Th, Ocean Towers, Khayaban-e-Iqbal, Block 9 Clifton, Karachi, 75600, Pakistan",ChIJaQDdabc9sz4RxEuKghaXGrQ
Jardin,http://jardin.pk/,+92 322 2527346,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"Plot # 36-C, Ittehad Lane 6, Khayaban-e-Ghazi, D.H.A Phase 6 Ittehad Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan",ChIJl1adsDY9sz4RppQSu9Ps0gg
Xander's Clifton,http://www.xanders.pk/,+92 21 35293653,,"C32, E St, Block 4 Clifton, Karachi, 75500, Pakistan",ChIJLXpsRAg9sz4R8FH-nwG8Tjg
Mandi House,https://mandihouse.pk/,+92 331 0222233,,"Shaheed-e-Millat Rd, Delhi Mercantile Society P.E.C.H.S., Karachi, 75400, Pakistan",ChIJ6Zn3R-s-sz4R7B4PYNbBVGM
Okra Restaurant,https://www.google.com/maps/search/?api=1&query=Okra%20Restaurant&query_place_id=ChIJr8hz77E9sz4RWiX6v7qfqoE,+92 21 35831350,,"Plot 12- C 10th Commercial Ln, Zamzama Commercial Area Defence V Karachi, 75600, Pakistan",ChIJr8hz77E9sz4RWiX6v7qfqoE
Cocochan - Tipu Sultan,https://www.cocochan.com.pk/,+92 21 34552695,,"1A Tipu Sultan Rd, next to Xanders, Karachi Memon Co-operative Housing Society Jinnah Housing Society P.E.C.H.S., Karachi, Pakistan",ChIJO1g1i6Q-sz4R7Y6JMVcxyxA
Xander's,http://www.xanders.pk/,+92 21 111 926 337,,"Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society P.E.C.H.S., Karachi, 74200, Pakistan",ChIJX8sX2iU_sz4RkQSMFLN8lng
